"","county","county_fips","state","fips","county_population","health_service_area_number","health_service_area","health_service_area_population"
"2081","Worcester County",24047,"Maryland",24047,"52,276",3,"Sussex, DE - Kent, DE","596,512"
"2082","Kent County",10001,"Delaware",10001,"180,786",3,"Sussex, DE - Kent, DE","596,512"
"2083","Somerset County",24039,"Maryland",24039,"25,616",3,"Sussex, DE - Kent, DE","596,512"
"2084","Wicomico County",24045,"Maryland",24045,"103,609",3,"Sussex, DE - Kent, DE","596,512"
"2085","Gloucester County",51073,"Virginia",51073,"37,348",5,"Newport News City, VA - Hampton City, VA","531,945"
"2086","Hampton City",51650,"Virginia",51650,"134,510",5,"Newport News City, VA - Hampton City, VA","531,945"
"2087","Williamsburg City",51830,"Virginia",51830,"14,954",5,"Newport News City, VA - Hampton City, VA","531,945"
"2088","James City County",51095,"Virginia",51095,"76,523",5,"Newport News City, VA - Hampton City, VA","531,945"
"2089","Newport News City",51700,"Virginia",51700,"179,225",5,"Newport News City, VA - Hampton City, VA","531,945"
"2090","Poquoson City",51735,"Virginia",51735,"12,271",5,"Newport News City, VA - Hampton City, VA","531,945"
"2091","Mathews County",51115,"Virginia",51115,"8,834",5,"Newport News City, VA - Hampton City, VA","531,945"
"2092","York County",51199,"Virginia",51199,"68,280",5,"Newport News City, VA - Hampton City, VA","531,945"
"2093","Rensselaer County",36083,"New York",36083,"158,714",10,"Albany (Albany), NY - Rensselaer, NY","499,690"
"2094","Bennington County",50003,"Vermont",50003,"35,470",10,"Albany (Albany), NY - Rensselaer, NY","499,690"
"2095","Albany County",36001,"New York",36001,"305,506",10,"Albany (Albany), NY - Rensselaer, NY","499,690"
"2096","Mingo County",54059,"West Virginia",54059,"23,424",13,"Pike, KY - Logan, WV","113,319"
"2097","Pike County",21195,"Kentucky",21195,"57,876",13,"Pike, KY - Logan, WV","113,319"
"2098","Logan County",54045,"West Virginia",54045,"32,019",13,"Pike, KY - Logan, WV","113,319"
"2099","Grafton County",33009,"New Hampshire",33009,"89,886",15,"Grafton, NH - Washington, VT","275,395"
"2100","Sullivan County",33019,"New Hampshire",33019,"43,146",15,"Grafton, NH - Washington, VT","275,395"
"2101","Orange County",50017,"Vermont",50017,"28,892",15,"Grafton, NH - Washington, VT","275,395"
"2102","Windsor County",50027,"Vermont",50027,"55,062",15,"Grafton, NH - Washington, VT","275,395"
"2103","Washington County",50023,"Vermont",50023,"58,409",15,"Grafton, NH - Washington, VT","275,395"
"2104","Nantucket County",25019,"Massachusetts",25019,"11,399",22,"Middlesex, MA - Suffolk (Boston), MA","3,885,304"
"2105","Norfolk County",25021,"Massachusetts",25021,"706,775",22,"Middlesex, MA - Suffolk (Boston), MA","3,885,304"
"2106","Suffolk County",25025,"Massachusetts",25025,"803,907",22,"Middlesex, MA - Suffolk (Boston), MA","3,885,304"
"2107","Grayson County",51077,"Virginia",51077,"15,550",73,"Carroll, VA - Grayson, VA","62,825"
"2108","Barnstable County",25001,"Massachusetts",25001,"212,990",22,"Middlesex, MA - Suffolk (Boston), MA","3,885,304"
"2109","Middlesex County",25017,"Massachusetts",25017,"1,611,699",22,"Middlesex, MA - Suffolk (Boston), MA","3,885,304"
"2110","Plymouth County",25023,"Massachusetts",25023,"521,202",22,"Middlesex, MA - Suffolk (Boston), MA","3,885,304"
"2111","Dukes County",25007,"Massachusetts",25007,"17,332",22,"Middlesex, MA - Suffolk (Boston), MA","3,885,304"
"2112","Garrard County",21079,"Kentucky",21079,"17,666",27,"Boyle, KY - Lincoln, KY","110,367"
"2113","Lincoln County",21137,"Kentucky",21137,"24,549",27,"Boyle, KY - Lincoln, KY","110,367"
"2114","Mercer County",21167,"Kentucky",21167,"21,933",27,"Boyle, KY - Lincoln, KY","110,367"
"2115","Boyle County",21021,"Kentucky",21021,"30,060",27,"Boyle, KY - Lincoln, KY","110,367"
"2116","Casey County",21045,"Kentucky",21045,"16,159",27,"Boyle, KY - Lincoln, KY","110,367"
"2117","Bland County",51021,"Virginia",51021,"6,280",39,"Mercer, WV - Tazewell, VA","144,261"
"2118","McDowell County",54047,"West Virginia",54047,"17,624",39,"Mercer, WV - Tazewell, VA","144,261"
"2119","Tazewell County",51185,"Virginia",51185,"40,595",39,"Mercer, WV - Tazewell, VA","144,261"
"2120","Mercer County",54055,"West Virginia",54055,"58,758",39,"Mercer, WV - Tazewell, VA","144,261"
"2121","Buchanan County",51027,"Virginia",51027,"21,004",39,"Mercer, WV - Tazewell, VA","144,261"
"2122","Lycoming County",42081,"Pennsylvania",42081,"113,299",44,"Lycoming (Williamsport), PA - Clinton, PA","151,931"
"2123","Clinton County",42035,"Pennsylvania",42035,"38,632",44,"Lycoming (Williamsport), PA - Clinton, PA","151,931"
"2124","Wayne County",42127,"Pennsylvania",42127,"51,361",47,"Lackawanna (Scranton), PA - Wayne, PA","261,035"
"2125","Lackawanna County",42069,"Pennsylvania",42069,"209,674",47,"Lackawanna (Scranton), PA - Wayne, PA","261,035"
"2126","Knox County",21121,"Kentucky",21121,"31,145",51,"Laurel, KY - Whitley, KY","148,123"
"2127","Laurel County",21125,"Kentucky",21125,"60,813",51,"Laurel, KY - Whitley, KY","148,123"
"2128","Whitley County",21235,"Kentucky",21235,"36,264",51,"Laurel, KY - Whitley, KY","148,123"
"2129","Clay County",21051,"Kentucky",21051,"19,901",51,"Laurel, KY - Whitley, KY","148,123"
"2130","Forest County",42053,"Pennsylvania",42053,"7,247",52,"Venango, PA - Clarion, PA","96,353"
"2131","Venango County",42121,"Pennsylvania",42121,"50,668",52,"Venango, PA - Clarion, PA","96,353"
"2132","Clarion County",42031,"Pennsylvania",42031,"38,438",52,"Venango, PA - Clarion, PA","96,353"
"2133","Delaware County",36025,"New York",36025,"44,135",58,"Otsego, NY - Chenango, NY","181,834"
"2134","Schoharie County",36095,"New York",36095,"30,999",58,"Otsego, NY - Chenango, NY","181,834"
"2135","Chenango County",36017,"New York",36017,"47,207",58,"Otsego, NY - Chenango, NY","181,834"
"2136","Otsego County",36077,"New York",36077,"59,493",58,"Otsego, NY - Chenango, NY","181,834"
"2137","Herkimer County",36043,"New York",36043,"61,319",59,"Oneida (Utica), NY - Madison, NY","360,931"
"2138","Madison County",36053,"New York",36053,"70,941",59,"Oneida (Utica), NY - Madison, NY","360,931"
"2139","Oneida County",36065,"New York",36065,"228,671",59,"Oneida (Utica), NY - Madison, NY","360,931"
"2140","Atlantic County",34001,"New Jersey",34001,"263,670",64,"Atlantic (Atlantic City), NJ - Cape May, NJ","355,709"
"2141","Cape May County",34009,"New Jersey",34009,"92,039",64,"Atlantic (Atlantic City), NJ - Cape May, NJ","355,709"
"2142","Bristol County",25005,"Massachusetts",25005,"565,217",68,"Bristol (New Bedford), MA - Newport, RI","647,299"
"2143","Newport County",44005,"Rhode Island",44005,"82,082",68,"Bristol (New Bedford), MA - Newport, RI","647,299"
"2144","Alleghany County",37005,"North Carolina",37005,"11,137",73,"Carroll, VA - Grayson, VA","62,825"
"2145","Carroll County",51035,"Virginia",51035,"29,791",73,"Carroll, VA - Grayson, VA","62,825"
"2146","Galax City",51640,"Virginia",51640,"6,347",73,"Carroll, VA - Grayson, VA","62,825"
"2147","Jefferson County",36045,"New York",36045,"109,834",80,"St. Lawrence, NY - Jefferson, NY","243,870"
"2148","Lewis County",36049,"New York",36049,"26,296",80,"St. Lawrence, NY - Jefferson, NY","243,870"
"2149","St. Lawrence County",36089,"New York",36089,"107,740",80,"St. Lawrence, NY - Jefferson, NY","243,870"
"2150","Litchfield County",9005,"Connecticut",9005,"180,333",85,"New Haven (New Haven), CT - Litchfield, CT","1,197,526"
"2151","New Haven County",9009,"Connecticut",9009,"854,757",85,"New Haven (New Haven), CT - Litchfield, CT","1,197,526"
"2152","Middlesex County",9007,"Connecticut",9007,"162,436",85,"New Haven (New Haven), CT - Litchfield, CT","1,197,526"
"2153","Schenectady County",36093,"New York",36093,"155,299",88,"Saratoga, NY - Schenectady (Schenectady), NY","514,726"
"2154","Hamilton County",36041,"New York",36041,"4,416",88,"Saratoga, NY - Schenectady (Schenectady), NY","514,726"
"2155","Warren County",36113,"New York",36113,"63,944",88,"Saratoga, NY - Schenectady (Schenectady), NY","514,726"
"2156","Washington County",36115,"New York",36115,"61,204",88,"Saratoga, NY - Schenectady (Schenectady), NY","514,726"
"2157","Saratoga County",36091,"New York",36091,"229,863",88,"Saratoga, NY - Schenectady (Schenectady), NY","514,726"
"2158","Meade County",21163,"Kentucky",21163,"28,572",89,"Hardin, KY - Meade, KY","200,832"
"2159","Grayson County",21085,"Kentucky",21085,"26,427",89,"Hardin, KY - Meade, KY","200,832"
"2160","Hardin County",21093,"Kentucky",21093,"110,958",89,"Hardin, KY - Meade, KY","200,832"
"2161","Breckinridge County",21027,"Kentucky",21027,"20,477",89,"Hardin, KY - Meade, KY","200,832"
"2162","Larue County",21123,"Kentucky",21123,"14,398",89,"Hardin, KY - Meade, KY","200,832"
"2163","Cheshire County",33005,"New Hampshire",33005,"76,085",90,"Cheshire, NH - Windham, VT","118,307"
"2164","Windham County",50025,"Vermont",50025,"42,222",90,"Cheshire, NH - Windham, VT","118,307"
"2165","Harrison County",54033,"West Virginia",54033,"67,256",92,"Harrison, WV - Upshur, WV","137,567"
"2166","Lewis County",54041,"West Virginia",54041,"15,907",92,"Harrison, WV - Upshur, WV","137,567"
"2167","Braxton County",54007,"West Virginia",54007,"13,957",92,"Harrison, WV - Upshur, WV","137,567"
"2168","Doddridge County",54017,"West Virginia",54017,"8,448",92,"Harrison, WV - Upshur, WV","137,567"
"2169","Gilmer County",54021,"West Virginia",54021,"7,823",92,"Harrison, WV - Upshur, WV","137,567"
"2170","Upshur County",54097,"West Virginia",54097,"24,176",92,"Harrison, WV - Upshur, WV","137,567"
"2171","Hunterdon County",34019,"New Jersey",34019,"124,371",93,"Hunterdon, NJ - Warren (Phillipsburg), NJ","229,638"
"2172","Warren County",34041,"New Jersey",34041,"105,267",93,"Hunterdon, NJ - Warren (Phillipsburg), NJ","229,638"
"2173","Louisa County",51109,"Virginia",51109,"37,591",99,"Albemarle, VA - Charlottesville City, VA","383,641"
"2174","Madison County",51113,"Virginia",51113,"13,261",99,"Albemarle, VA - Charlottesville City, VA","383,641"
"2175","Nelson County",51125,"Virginia",51125,"14,930",99,"Albemarle, VA - Charlottesville City, VA","383,641"
"2176","Buckingham County",51029,"Virginia",51029,"17,148",99,"Albemarle, VA - Charlottesville City, VA","383,641"
"2177","Fluvanna County",51065,"Virginia",51065,"27,270",99,"Albemarle, VA - Charlottesville City, VA","383,641"
"2178","Orange County",51137,"Virginia",51137,"37,051",99,"Albemarle, VA - Charlottesville City, VA","383,641"
"2179","Rappahannock County",51157,"Virginia",51157,"7,370",99,"Albemarle, VA - Charlottesville City, VA","383,641"
"2180","Culpeper County",51047,"Virginia",51047,"52,605",99,"Albemarle, VA - Charlottesville City, VA","383,641"
"2181","Charlottesville City",51540,"Virginia",51540,"47,266",99,"Albemarle, VA - Charlottesville City, VA","383,641"
"2182","Albemarle County",51003,"Virginia",51003,"109,330",99,"Albemarle, VA - Charlottesville City, VA","383,641"
"2183","Greene County",51079,"Virginia",51079,"19,819",99,"Albemarle, VA - Charlottesville City, VA","383,641"
"2184","Juniata County",42067,"Pennsylvania",42067,"24,763",110,"Mifflin, PA - Huntingdon, PA","116,045"
"2185","Mifflin County",42087,"Pennsylvania",42087,"46,138",110,"Mifflin, PA - Huntingdon, PA","116,045"
"2186","Huntingdon County",42061,"Pennsylvania",42061,"45,144",110,"Mifflin, PA - Huntingdon, PA","116,045"
"2187","Tioga County",42117,"Pennsylvania",42117,"40,591",128,"Tioga, PA","40,591"
"2188","Catoosa County",13047,"Georgia",13047,"67,580",141,"Hamilton (Chattanooga), TN - Walker, GA","565,194"
"2189","Dade County",13083,"Georgia",13083,"16,116",141,"Hamilton (Chattanooga), TN - Walker, GA","565,194"
"2190","Walker County",13295,"Georgia",13295,"69,761",141,"Hamilton (Chattanooga), TN - Walker, GA","565,194"
"2191","Hamilton County",47065,"Tennessee",47065,"367,804",141,"Hamilton (Chattanooga), TN - Walker, GA","565,194"
"2192","Marion County",47115,"Tennessee",47115,"28,907",141,"Hamilton (Chattanooga), TN - Walker, GA","565,194"
"2193","Sequatchie County",47153,"Tennessee",47153,"15,026",141,"Hamilton (Chattanooga), TN - Walker, GA","565,194"
"2194","Dougherty County",13095,"Georgia",13095,"87,956",144,"Dougherty (Albany), GA - Lee, GA","175,755"
"2195","Early County",13099,"Georgia",13099,"10,190",144,"Dougherty (Albany), GA - Lee, GA","175,755"
"2196","Randolph County",13243,"Georgia",13243,"6,778",144,"Dougherty (Albany), GA - Lee, GA","175,755"
"2197","Clay County",13061,"Georgia",13061,"2,834",144,"Dougherty (Albany), GA - Lee, GA","175,755"
"2198","Terrell County",13273,"Georgia",13273,"8,531",144,"Dougherty (Albany), GA - Lee, GA","175,755"
"2199","Worth County",13321,"Georgia",13321,"20,247",144,"Dougherty (Albany), GA - Lee, GA","175,755"
"2200","Calhoun County",13037,"Georgia",13037,"6,189",144,"Dougherty (Albany), GA - Lee, GA","175,755"
"2201","Baker County",13007,"Georgia",13007,"3,038",144,"Dougherty (Albany), GA - Lee, GA","175,755"
"2202","Lee County",13177,"Georgia",13177,"29,992",144,"Dougherty (Albany), GA - Lee, GA","175,755"
"2203","Tipton County",47167,"Tennessee",47167,"61,599",146,"Shelby (Memphis), TN - DeSoto, MS","1,340,541"
"2204","Benton County",28009,"Mississippi",28009,"8,259",146,"Shelby (Memphis), TN - DeSoto, MS","1,340,541"
"2205","DeSoto County",28033,"Mississippi",28033,"184,945",146,"Shelby (Memphis), TN - DeSoto, MS","1,340,541"
"2206","Marshall County",28093,"Mississippi",28093,"35,294",146,"Shelby (Memphis), TN - DeSoto, MS","1,340,541"
"2207","Tate County",28137,"Mississippi",28137,"28,321",146,"Shelby (Memphis), TN - DeSoto, MS","1,340,541"
"2208","Panola County",28107,"Mississippi",28107,"34,192",146,"Shelby (Memphis), TN - DeSoto, MS","1,340,541"
"2209","Tunica County",28143,"Mississippi",28143,"9,632",146,"Shelby (Memphis), TN - DeSoto, MS","1,340,541"
"2210","Fayette County",47047,"Tennessee",47047,"41,133",146,"Shelby (Memphis), TN - DeSoto, MS","1,340,541"
"2211","Shelby County",47157,"Tennessee",47157,"937,166",146,"Shelby (Memphis), TN - DeSoto, MS","1,340,541"
"2212","Walker County",1127,"Alabama",1127,"63,521",150,"Jefferson (Birmingham), AL - Shelby, AL","1,237,724"
"2213","St. Clair County",1115,"Alabama",1115,"89,512",150,"Jefferson (Birmingham), AL - Shelby, AL","1,237,724"
"2214","Bibb County",1007,"Alabama",1007,"22,394",150,"Jefferson (Birmingham), AL - Shelby, AL","1,237,724"
"2215","Blount County",1009,"Alabama",1009,"57,826",150,"Jefferson (Birmingham), AL - Shelby, AL","1,237,724"
"2216","Cullman County",1043,"Alabama",1043,"83,768",150,"Jefferson (Birmingham), AL - Shelby, AL","1,237,724"
"2217","Chilton County",1021,"Alabama",1021,"44,428",150,"Jefferson (Birmingham), AL - Shelby, AL","1,237,724"
"2218","Jefferson County",1073,"Alabama",1073,"658,573",150,"Jefferson (Birmingham), AL - Shelby, AL","1,237,724"
"2219","Shelby County",1117,"Alabama",1117,"217,702",150,"Jefferson (Birmingham), AL - Shelby, AL","1,237,724"
"2220","Sullivan County",47163,"Tennessee",47163,"158,348",151,"Sullivan (Kingsport), TN - Hawkins, TN","363,892"
"2221","Russell County",51167,"Virginia",51167,"26,586",151,"Sullivan (Kingsport), TN - Hawkins, TN","363,892"
"2222","Smyth County",51173,"Virginia",51173,"30,104",151,"Sullivan (Kingsport), TN - Hawkins, TN","363,892"
"2223","Washington County",51191,"Virginia",51191,"53,740",151,"Sullivan (Kingsport), TN - Hawkins, TN","363,892"
"2224","Bristol City",51520,"Virginia",51520,"16,762",151,"Sullivan (Kingsport), TN - Hawkins, TN","363,892"
"2225","Hawkins County",47073,"Tennessee",47073,"56,786",151,"Sullivan (Kingsport), TN - Hawkins, TN","363,892"
"2226","Scott County",51169,"Virginia",51169,"21,566",151,"Sullivan (Kingsport), TN - Hawkins, TN","363,892"
"2227","Calhoun County",12013,"Florida",12013,"14,105",155,"Bay (Panama City), FL - Jackson, FL","293,953"
